h3_02,mean_DOY_peak,std_DOY_peak,mean_seasonality
820007fffffffff,91.2,15.633297796690243,170.52645874023438
82001ffffffffff,81.22314049586777,8.382012092675785,166.0420379638672
820027fffffffff,74.42857142857143,15.450737028545749,349.7430114746094
82002ffffffffff,75.55913978494624,8.759812864336338,288.1329040527344
82004ffffffffff,80.0,0.1796053020267749,380.26300048828125
820067fffffffff,78.48148148148148,7.856258506490079,220.02108764648438
82006ffffffffff,96.45486111111111,38.07581896984679,430.6572265625
820087fffffffff,62.0,6.082762530298219,693.2645874023438
82008ffffffffff,77.2,9.003702941938204,246.9318389892578
820097fffffffff,98.31632653061224,53.74540919043149,2339.977783203125
82009ffffffffff,67.57894736842105,6.970698908635619,1106.24853515625
8200a7fffffffff,71.94957983193277,14.245337470641795,292.0668029785156
8200affffffffff,72.32142857142857,7.07658408612816,169.79031372070312
8200b7fffffffff,140.7,48.81015856302219,2044.737548828125
8200d7fffffffff,79.11111111111111,7.849274559544411,220.4341583251953
8200f7fffffffff,74.91304347826087,6.584506908288308,159.26039123535156
82010ffffffffff,104.0,52.0,924.8449096679688
820127fffffffff,143.63084112149534,32.845908302967345,2554.114013671875
820137fffffffff,143.936,9.822410189738763,2660.1396484375
820157fffffffff,79.59701492537313,25.333599610355822,601.6734619140625
82015ffffffffff,71.5072463768116,8.193654625964061,370.96258544921875
820177fffffffff,77.0,,1161.469970703125
820187fffffffff,85.40993788819875,45.777378699758664,1599.187744140625
82018ffffffffff,65.65306122448979,22.605816932455095,806.1671142578125
820197fffffffff,159.453125,20.23350175461401,2594.769775390625
82019ffffffffff,59.39655172413793,4.200833898721312,699.862548828125
8201b7fffffffff,130.0327868852459,44.91843245005876,1827.1678466796875
820207fffffffff,64.8953488372093,4.228833992450462,729.7637329101562
82020ffffffffff,61.70909090909091,3.829339880271591,867.1939086914062
820217fffffffff,61.8780487804878,4.202351258231632,711.0978393554688
82021ffffffffff,70.6231884057971,31.31864179311264,962.0813598632812
820227fffffffff,80.625,4.544227107000705,341.5589294433594
82022ffffffffff,107.04593639575971,47.016233910842544,762.4179077148438
820247fffffffff,60.704663212435236,5.716462795399941,500.2666320800781
82024ffffffffff,54.43827160493827,4.522994375184744,1022.9130859375
820257fffffffff,57.68571428571428,3.4963681390743773,686.1773071289062
