h3_02,mean_DOY_max,std_DOY_max,mean_DOY_peak,std_DOY_peak,lng,lat
820007fffffffff,,,,,38.027954689210915,79.25177459109035
820027fffffffff,,,,,29.600681327773565,77.19399898495597
82002ffffffffff,,,,,22.595539289311112,79.65840440362632
820067fffffffff,,,,,-6.247567572862153,80.96111625671124
82006ffffffffff,,,,,-24.512414564182333,81.91025310118522
820127fffffffff,,,,,24.357445241443248,70.69456912703434
820137fffffffff,,,,,32.293492901094126,70.32031387880089
820157fffffffff,,,,,17.01511912451366,77.28185485162669
82015ffffffffff,,,,,7.424665218416564,79.32196770403874
820207fffffffff,,,,,-107.38668872253497,79.22046392765274
82020ffffffffff,,,,,-98.69605789146034,77.0719535852298
820217fffffffff,,,,,-121.0990490044932,78.11520193082025
82021ffffffffff,,,,,-111.08267367478946,76.42395015828444
82022ffffffffff,,,,,-91.6906468024921,79.61446906663231
820247fffffffff,,,,,-81.169991936193,74.38425681766743
82024ffffffffff,,,,,-78.05969857773223,71.54830938730184
820257fffffffff,,,,,-92.39635256070666,74.65179632237479
82025ffffffffff,,,,,-87.70175197974743,72.02981930018896
820277fffffffff,,,,,-85.4658204093328,77.08967274317632
82028ffffffffff,,,,,-122.39474064633076,72.36138474140532
82029ffffffffff,311.3114754098361,22.89071207834199,295.8448275862069,37.0745109036071,-129.8515947065772,70.83659995406829
8202affffffffff,,,,,-121.81705302382865,75.24931087925215
8202c7fffffffff,,,,,-106.8479280580293,71.54215561857924
8202cffffffffff,,,,,-101.31055916947113,69.26725377307399
8202d7fffffffff,,,,,-115.38467434538705,70.65533944023451
8202dffffffffff,,,,,-109.3770186289365,68.66439976022596
8202e7fffffffff,,,,,-103.45221206918713,74.35898139941739
8202effffffffff,,,,,-97.47945981225783,72.0209582216219
8202f7fffffffff,,,,,-113.5931926515356,73.56192754038351
820607fffffffff,,,,,-31.008870106666503,69.66549469277899
82060ffffffffff,,,,,-34.19556722528124,67.01790634759566
820617fffffffff,,,,,-35.89826884546492,72.0810831264686
820627fffffffff,,,,,-23.304965141669246,69.63220295697577
82062ffffffffff,,,,,-27.200673589565397,67.18795496423677
820637fffffffff,,,,,-27.012152024488625,72.19380007943417
8206c7fffffffff,,,,,-48.1256026015061,65.70351202371445
8206cffffffffff,,,,,-49.299390814075515,62.71545710339801
8206d7fffffffff,,,,,-54.04895961086875,67.59908414424626
8206dffffffffff,,,,,-54.670971180380015,64.56024975185825
8206effffffffff,,,,,-43.12700437328599,63.6465346293665
820707fffffffff,,,,,-10.762282827293989,71.32892288551375
82071ffffffffff,,,,,-18.531072773487434,71.92331408016146
820747fffffffff,217.14285714285714,25.740889778587814,251.83333333333334,42.30158676012334,-18.206668513468127,64.51280861417335
820757fffffffff,,,,,-20.45523579016889,67.06142415833592
82075ffffffffff,,,,,-24.17571335508551,64.69508261452164
820767fffffffff,238.0,,240.0,,-12.607850238465515,64.11555395666396
820777fffffffff,,,,,-14.119138168064163,66.67651299242998
820787fffffffff,,,,,-26.692002881941335,77.16158793213498
82078ffffffffff,,,,,-31.9808924848349,74.6999553973599
8207a7fffffffff,,,,,-15.292503107342862,76.71846832535537
8207affffffffff,,,,,-21.909516442607956,74.5625977012871
8207b7fffffffff,,,,,-19.04023205483638,79.3680793211127
820807fffffffff,,,,,10.53659686418025,64.69730258678455
820817fffffffff,,,,,11.94478577938835,62.75127730984389
82081ffffffffff,,,,,15.308668367975976,64.6386449729579
82082ffffffffff,,,,,12.088988135485756,66.63358834072493
820837fffffffff,,,,,6.840723404369669,63.44410259106841
820887fffffffff,,,,,18.26551705615705,60.172836353390196
82088ffffffffff,,,,,21.85490355112463,61.967294915119965
820897fffffffff,262.375,10.835622468770048,262.14285714285717,11.393398255547982,19.2374562947838,57.93110980610365
82089ffffffffff,,,,,23.12577615125859,59.51049188224957
8208a7fffffffff,270.8974358974359,17.946990470175557,260.3421052631579,29.069605484348205,13.222210684075648,60.705183446773304
8208affffffffff,,,,,17.06930330010998,62.3737773853926
8208b7fffffffff,271.01666666666665,19.911669468067878,263.82183908045977,25.62214055795579,14.4004347906957,58.542868742616
8208c7fffffffff,,,,,23.835254349452274,66.46938872793935
8208cffffffffff,,,,,27.914570375026077,68.45363977635107
8208d7fffffffff,,,,,25.309116030291367,63.98780546257789
8208dffffffffff,,,,,29.391836059926728,65.95896010544584
8208e7fffffffff,,,,,18.138835992647785,66.72336888522933
8208effffffffff,,,,,21.00451790912321,68.71288523291256
8208f7fffffffff,,,,,20.243271537522617,64.40654690315321
820937fffffffff,261.5,4.203173404306164,261.5,4.203173404306164,-7.263892550047091,63.55358888888223
82094ffffffffff,,,,,16.424848845664183,70.71955145403477
82095ffffffffff,,,,,14.005249605187847,68.6393295170307
820987fffffffff,213.7058823529412,48.3163232641744,255.9090909090909,20.787762703670193,4.803641118134155,59.595576358371616
82098ffffffffff,239.088,40.088011239787015,258.8867924528302,29.613484944633548,8.192792597323043,61.1319558167144
820997fffffffff,266.5833333333333,63.46002081960139,253.0,16.135787441697303,6.160436605489148,57.16419502948974
82099ffffffffff,258.2421052631579,35.31092904229696,268.1304347826087,21.148559816772213,9.537844092015307,58.959309858951855
8209a7fffffffff,264.5,64.41555430455936,246.41666666666666,19.91097611110439,-0.006478770599090957,60.4725221789412
8209affffffffff,360.0,,263.0,,3.335533478682387,62.03772991675503
820c07fffffffff,207.32549019607842,41.078855621692966,291.9877551020408,21.405239444525822,-158.92931299614517,64.42840191890964
820c0ffffffffff,190.26732673267327,23.638512921948035,300.452296819788,19.455541791685977,-155.46533790112446,62.24777821523942
820c17fffffffff,257.5882352941176,21.136635326872074,262.70588235294116,8.886539722259396,-165.43567219227404,63.84395191164781
820c1ffffffffff,233.45993031358884,40.375219551617064,274.59363957597174,23.128554436530063,-161.43789646970902,61.81924877934328
820c27fffffffff,199.24632352941177,36.88500611997493,291.9685039370079,13.475163514593941,-155.83731566947213,67.03202336759767
820c2ffffffffff,189.59310344827585,25.16450967987868,302.5289575289575,12.762367890809282,-152.3350073637178,64.71217874684937
820c37fffffffff,191.07692307692307,29.121760301824526,287.8,17.58661106890378,-163.13997039532583,66.58836243674328
820c47fffffffff,233.900826446281,64.08827310289531,289.9017857142857,15.030875024086388,-147.15570011772118,60.16054936645413
820c57fffffffff,221.79906542056074,59.37959213032518,282.375,27.833229766688646,-152.5853161604967,60.081952348582305
820c5ffffffffff,229.0,71.73388320731006,282.75,36.0862063081489,-150.1645393156498,57.955833120172514
820c67fffffffff,225.59797297297297,56.80508328840525,303.8205128205128,8.410472535206331,-143.65293642820149,62.32660787780369
820c6ffffffffff,253.92361111111111,66.54186125107111,305.1711711711712,13.41496713232437,-141.87351831433375,60.02326251634706
820c77fffffffff,198.5186440677966,36.14500499253384,292.4484126984127,16.92711459835415,-149.49472517142695,62.413031477169696
820c87fffffffff,,,,,-172.89571491195494,60.18474003004595
820ca7fffffffff,,,,,-171.69541266277164,62.96751536691406
820caffffffffff,,,,,-167.28529355822707,61.12761941732864
820cc7fffffffff,257.90410958904107,54.51431116473545,267.59154929577466,29.850856635130366,-160.25938905522116,57.316846852008176
820ccffffffffff,274.3333333333333,42.64247826265439,271.6666666666667,26.765293803374405,-157.45599317218168,55.41136093494276
820cdffffffffff,268.10526315789474,51.04549054777667,265.2631578947368,25.196490983760754,-162.01280193683604,54.86801040399959
820ce7fffffffff,202.53658536585365,36.78330828948214,290.0037735849057,31.237542742911273,-158.06871013969382,59.77393276884467
820ceffffffffff,234.0108695652174,63.13139988705099,278.27848101265823,32.36217683342279,-155.20927250452954,57.73990465908398
820cf7fffffffff,241.0625,36.24864529488358,264.57377049180326,14.318355371565831,-163.50656868925532,59.231666860273776
820d07fffffffff,242.875,82.6428417088515,262.0,45.51294949163998,-156.4268921817178,72.04594478121288
820d0ffffffffff,189.39574468085107,26.984499804112055,294.6123595505618,22.15995431385243,-151.95774513486154,69.59429784557749
820d1ffffffffff,183.07692307692307,0.4803844614152614,296.37142857142857,8.88185762990959,-160.22558741833407,69.33427290780514
820d47fffffffff,230.59927797833936,57.836930928144355,305.028880866426,9.540107736658959,-141.43546875781576,66.91033801512347
820d4ffffffffff,268.5223367697595,57.8744957469951,309.0927835051546,4.701611919243788,-139.55747316103148,64.41986890510786
820d57fffffffff,200.67407407407407,37.8676681601918,293.13524590163934,12.30017847326871,-148.52543954495053,67.13326815412599
820d5ffffffffff,205.22027972027973,45.30261300614612,302.9550561797753,10.40449958224721,-145.82462300715434,64.7021741808188
820d67fffffffff,271.0273224043716,62.079834429475476,306.1388888888889,23.16560827130952,-136.16266043087353,68.98851817485719
820d6ffffffffff,293.056338028169,44.89985317137606,311.0247349823322,11.316345244778462,-134.78635985569534,66.3429362801917
820d77fffffffff,193.5699481865285,37.36679854966796,301.35036496350364,18.89389538856552,-143.836049436964,69.46696416894697
820d87fffffffff,,,,,-55.107974372518164,67.73520281304127
820d8ffffffffff,,,,,-170.20402854406743,65.8048166095022
820d9ffffffffff,,,,,-56.15354300224047,64.76815932111751
820daffffffffff,,,,,-168.30406820420723,68.67785795560977
820e07fffffffff,265.31468531468533,7.790766998726427,264.9230769230769,5.194901242235158,-77.20711167708738,60.432779162630055
820e0ffffffffff,262.812030075188,12.676914317686306,261.8646616541353,7.7918989909450245,-75.67889716335681,57.413088477017865
820e17fffffffff,263.9166666666667,4.1660605619770585,263.9166666666667,4.1660605619770585,-83.45864441385564,61.081202797820204
820e1ffffffffff,255.28571428571428,7.250615737399725,255.28571428571428,7.250615737399725,-81.36838290386078,58.14579818704105
820e27fffffffff,263.5,6.0,263.625,5.974648824109127,-72.43862070688567,62.57086001140818
820e2ffffffffff,262.2996254681648,5.900181583336348,262.1498127340824,3.972654408264883,-71.25093809363838,59.5045858162323
820e37fffffffff,262.0,4.881939505292269,262.0,4.881939505292269,-79.04723402400178,63.43131005314213
820e47fffffffff,267.19767441860466,15.089486052483366,265.37719298245617,8.876530408754647,-69.43183133697431,53.39230858633875
820e4ffffffffff,312.2977346278317,38.04221034034037,268.38666666666666,20.13243333019811,-68.72054581678317,50.38519387415392
820e57fffffffff,265.1374269005848,17.640973112690695,263.69794721407624,13.530780656911144,-74.39121575601152,54.39556106696835
820e5ffffffffff,281.80645161290323,27.726671477035357,278.3776435045317,23.813403060864538,-73.29247536544558,51.40147345755654
820e67fffffffff,287.1504424778761,31.163309456996217,274.05637982195844,21.13575232020427,-65.19330534932833,55.2518514631017
820e6ffffffffff,310.7307692307692,35.98551060209885,275.09118541033433,25.46094956112071,-64.77504813057992,52.208465313022245
820e77fffffffff,263.9472140762463,11.944854892055906,262.9736070381232,7.462211165627847,-70.26418913106377,56.43832872271196
820e87fffffffff,274.4965034965035,16.69817993197105,273.93706293706293,16.932432744199993,-93.16249876986163,58.810516845249296
820e8ffffffffff,283.99676375404533,17.174145923276843,284.48867313915855,17.316497122235017,-90.47882200174669,56.075435384594286
820e97fffffffff,305.34328358208955,23.45549502080136,294.9432835820896,32.20564174866405,-99.02447927365566,58.735871760602734
820e9ffffffffff,292.733918128655,23.71697651934335,284.50877192982455,27.62630146795389,-95.95510635738975,56.15094320720222
820ea7fffffffff,262.75,12.284814474246922,263.0,12.463279397226612,-89.87165017836864,61.429533364258674
820eb7fffffffff,281.0065573770492,11.979146750055344,281.5770491803279,12.179096542018632,-96.2898235709266,61.47281313952256
820ec7fffffffff,269.94612794612794,22.19440656092617,267.1380471380471,19.917510636553708,-83.07340933516866,52.875634496652154
820ecffffffffff,251.20353982300884,40.01822645959017,261.74041297935105,16.68691479191796,-81.41024448982814,50.00337022490575
820ed7fffffffff,280.58479532163744,23.809177912950613,278.9298245614035,21.381489225357004,-88.16023922569713,53.29800500904129
820edffffffffff,257.00892857142856,36.52972509566739,264.80357142857144,27.069233276764557,-86.14323950375496,50.50551717458253
820ee7fffffffff,257.60833333333335,9.318181228145342,257.05833333333334,5.412863349083767,-79.60292465805608,55.190144584313
820eeffffffffff,265.0848708487085,18.118033575181563,264.0444444444444,14.838093579219512,-78.09472617449478,52.23865671728885
820ef7fffffffff,264.3128834355828,18.37554785355875,263.8282208588957,17.66966958826134,-84.99519272886864,55.75437517908813
820f07fffffffff,,,,,-67.90200799936613,67.57851117017057
820f0ffffffffff,,,,,-67.0014073632451,64.51146848192779
820f17fffffffff,,,,,-75.71673884894439,68.61626438683854
820f1ffffffffff,,,,,-73.89411678153179,65.61565667350814
820f2ffffffffff,,,,,-60.86378958009667,66.20390385646527
820f37fffffffff,,,,,-69.05556557692091,70.60361282792124
820f47fffffffff,,,,,-60.65058816627082,60.02907416929041
820f4ffffffffff,333.40816326530614,22.690782239479002,269.44897959183675,16.584457111617333,-60.57188488892489,56.945908274165795
820f57fffffffff,,,,,-66.27913662312416,61.42185622063538
820f5ffffffffff,281.9818181818182,32.34617281451479,269.6181818181818,23.02490945431671,-65.68718572858201,58.329004677568925
820f87fffffffff,268.875,10.204165815979275,269.5,10.37854930682924,-89.01194875488643,66.77948058223467
820f8ffffffffff,264.125,6.142371154876211,264.2291666666667,6.233879920663232,-85.96493237094792,63.96922067185613
820f97fffffffff,,,,,-96.76234471642172,66.79326100800616
820f9ffffffffff,271.37847222222223,6.873609210677258,271.6701388888889,6.908980974001127,-93.0041032929361,64.16730383362048
820fa7fffffffff,,,,,-84.11266813379467,69.26022717652931
820faffffffffff,,,,,-81.30027652516154,66.38320484485551
820fb7fffffffff,,,,,-92.77146115127533,69.47720105915145
821007fffffffff,,,,,45.335194262008464,60.179056684544726
821017fffffffff,,,,,45.107937937952954,57.285600879339704
821027fffffffff,,,,,40.51712772665115,61.4642282745046
82102ffffffffff,,,,,45.601243078549935,63.02004997559417
821037fffffffff,,,,,40.642323165765106,58.63304176006631
821087fffffffff,,,,,48.90588598178871,52.76339014270604
821097fffffffff,,,,,48.49070033472243,49.771600897563374
8210a7fffffffff,,,,,44.91156326028293,54.35345305965186
8210affffffffff,,,,,49.37961305654204,55.73714634931922
8210b7fffffffff,,,,,44.74017135426781,51.39751670729444
821107fffffffff,,,,,31.31508705014543,60.70487575976667
82110ffffffffff,,,,,35.52577380012262,62.52617395821219
821117fffffffff,,,,,32.077680097288145,57.989358966016546
82111ffffffffff,,,,,36.02656337144163,59.773092157946394
821127fffffffff,,,,,26.569686145539244,61.433028628073586
82112ffffffffff,,,,,30.430268765269016,63.36516469911358
821137fffffffff,,,,,27.659151825616675,58.8162934187884
821147fffffffff,,,,,40.196140520583214,66.94744829162713
82114ffffffffff,,,,,46.297600575085525,68.49710141012633
821157fffffffff,,,,,40.370413839481884,64.23936133501371
82115ffffffffff,,,,,45.91694161993812,65.79627294177065
821167fffffffff,,,,,34.236505107325016,67.83993406375559
82116ffffffffff,,,,,39.75786260909476,69.57794231825436
821177fffffffff,,,,,34.93741486869892,65.21855289384413
821187fffffffff,,,,,36.83325413838517,54.13266224542584
82118ffffffffff,,,,,40.75039604997773,55.75830756012496
821197fffffffff,,,,,37.162813600685475,51.27195813445698
82119ffffffffff,,,,,40.844621745057566,52.85377243156001
