h3_02,mean_DOY_max,std_DOY_max,mean_DOY_peak,std_DOY_peak,lng,lat
820007fffffffff,325.5,4.949747468305833,327.0,5.656854249492381,38.027954689210915,79.25177459109035
82001ffffffffff,262.7037037037037,53.48530697937577,282.59090909090907,40.53294849156564,50.523674736826095,81.03848255534811
820027fffffffff,252.5,65.76093065034893,252.5,65.76093065034893,29.600681327773565,77.19399898495597
82002ffffffffff,271.7090909090909,53.41995490911222,279.45238095238096,45.099998583609505,22.595539289311112,79.65840440362632
82004ffffffffff,325.5,12.717203809299933,292.9,56.86524031036495,-34.79834391852872,84.36126652456497
820067fffffffff,330.8333333333333,53.48426559902143,254.5,58.801927406052485,-6.247567572862153,80.96111625671124
82006ffffffffff,313.94666666666666,45.96705439866786,281.1224489795918,57.08131358460681,-24.512414564182333,81.91025310118522
820087fffffffff,296.5,3.5355339059327378,298.5,3.5355339059327378,74.9113037520116,77.15979474256645
82008ffffffffff,282.5,2.1213203435596424,283.0,1.4142135623730951,80.72401774802684,79.89441387813707
820097fffffffff,263.1111111111111,61.41092400625143,272.58620689655174,37.182481705943296,81.99024309334878,74.69290458318693
82009ffffffffff,313.3333333333333,7.023769168568493,248.66666666666666,56.89756878227165,88.1865263481808,77.2420638789918
8200a7fffffffff,273.16326530612247,42.52124319030407,284.4782608695652,25.315554402106038,62.73886042856746,76.46511996000737
8200affffffffff,218.6,44.09421730794187,243.33333333333334,43.015501081974314,64.83286355924874,79.34234070885736
8200b7fffffffff,216.9090909090909,39.04472959428595,240.88888888888889,37.634573348333724,71.20572462874229,74.4032994836545
8200d7fffffffff,320.0,,320.0,,90.81848763515943,82.49462759257179
8200f7fffffffff,263.5,84.59511412211306,289.25,49.84893847081066,68.5472605945598,82.2497680983409
820127fffffffff,292.780701754386,48.35172732991417,289.09473684210525,44.49147029994949,24.357445241443248,70.69456912703434
820137fffffffff,276.28767123287673,48.21983209221618,279.7846153846154,40.82412441945797,32.293492901094126,70.32031387880089
820157fffffffff,298.2439024390244,48.033207517198385,298.5925925925926,42.64636269029577,17.01511912451366,77.28185485162669
82015ffffffffff,282.35,59.95636571268879,273.5,59.823779681533125,7.424665218416564,79.32196770403874
820187fffffffff,257.72222222222223,45.700300635250855,281.35714285714283,23.828019780882784,52.918746208520346,72.52218335760773
82018ffffffffff,257.8421052631579,43.71023673376338,272.6875,31.19127816126382,52.43990928465093,75.29446624834699
