,h3_02,mean_DOY_peak,std_DOY_peak,mean_seasonality,year,lng,lat,season
0,820007fffffffff,77.4,5.929212051829111,172.30862426757812,2010,38.027954689210915,79.25177459109035,spring
1,82001ffffffffff,81.06611570247934,7.324315141124211,144.5784912109375,2010,50.523674736826095,81.03848255534811,spring
2,820027fffffffff,64.8,8.29113123420786,350.6419372558594,2010,29.600681327773565,77.19399898495597,spring
3,82002ffffffffff,75.18716577540107,8.324871789468016,283.10809326171875,2010,22.595539289311112,79.65840440362632,spring
4,82004ffffffffff,80.85714285714286,0.3527378107513292,338.9818725585937,2010,-34.79834391852872,84.36126652456497,spring
5,820067fffffffff,77.44444444444444,6.4051261522034855,187.4844512939453,2010,-6.247567572862153,80.96111625671124,spring
6,82006ffffffffff,94.07317073170732,35.52471135469485,395.25885009765625,2010,-24.512414564182333,81.91025310118522,spring
7,820087fffffffff,64.66666666666667,3.7859388972001824,585.8386840820312,2010,74.9113037520116,77.15979474256645,spring
8,82008ffffffffff,79.77777777777777,14.754472015102554,299.7642517089844,2010,80.72401774802684,79.89441387813707,spring
9,820097fffffffff,58.326530612244895,4.185826625684626,1981.248046875,2010,81.99024309334878,74.69290458318693,spring
10,82009ffffffffff,63.5,6.303716531163434,783.3253173828125,2010,88.1865263481808,77.2420638789918,spring
11,8200a7fffffffff,67.29411764705883,5.8964984455391205,262.5164489746094,2010,62.73886042856746,76.46511996000737,spring
12,8200affffffffff,76.46428571428571,5.210261547832833,161.3117218017578,2010,64.83286355924874,79.34234070885736,spring
13,8200b7fffffffff,58.05263157894737,2.548936253300936,1963.4241943359373,2010,71.20572462874229,74.4032994836545,spring
14,8200d7fffffffff,77.22222222222223,5.190803834132479,166.70343017578125,2010,90.81848763515943,82.49462759257179,spring
15,8200f7fffffffff,77.0,3.94002658922621,149.2600555419922,2010,68.5472605945598,82.2497680983409,spring
16,82010ffffffffff,151.0,1.4142135623730951,932.601806640625,2010,23.76419784610439,75.03379856697282,spring
17,820127fffffffff,146.64953271028037,25.26430380455737,2685.123291015625,2010,24.357445241443248,70.69456912703434,spring
18,820137fffffffff,150.208,9.634695368236075,2692.1201171875,2010,32.293492901094126,70.32031387880089,spring
19,820157fffffffff,73.88059701492537,23.550312411483787,635.9563598632812,2010,17.01511912451366,77.28185485162669,spring
20,82015ffffffffff,73.05714285714286,9.915418697680424,427.4205017089844,2010,7.424665218416564,79.32196770403874,spring
21,820177fffffffff,146.0,,886.49072265625,2010,13.32193660942516,74.92576128902655,spring
22,820187fffffffff,70.62962962962963,33.66936216993569,1299.38623046875,2010,52.918746208520346,72.52218335760773,spring
23,82018ffffffffff,69.75510204081633,15.006291197701184,630.3642578125,2010,52.43990928465093,75.29446624834699,spring
24,820197fffffffff,123.35384615384616,57.78906437673534,2334.202880859375,2010,60.465639137863825,70.89829545164343,spring
25,82019ffffffffff,61.54237288135593,4.116082980206006,635.447998046875,2010,61.39753444676153,73.6449853817932,spring
26,8201b7fffffffff,108.77049180327867,52.069630765806586,1705.1488037109375,2010,53.10959500701393,69.82186878611414,spring
27,820207fffffffff,67.12941176470588,2.894116508391751,688.0054321289062,2010,-107.38668872253497,79.22046392765274,spring
28,82020ffffffffff,66.06363636363636,15.918902507274632,894.1796264648438,2010,-98.69605789146034,77.0719535852298,spring
29,820217fffffffff,67.90243902439025,4.247380828515266,765.9510498046875,2010,-121.0990490044932,78.11520193082025,spring
30,82021ffffffffff,65.20673076923077,16.661754432174376,1021.7877197265624,2010,-111.08267367478946,76.42395015828444,spring
31,820227fffffffff,82.8125,5.192542729723079,250.3162384033203,2010,-101.18171098474508,81.94494073490236,spring
32,82022ffffffffff,106.70567375886525,45.38520660270323,726.6631469726562,2010,-91.6906468024921,79.61446906663231,spring
33,820247fffffffff,63.675257731958766,6.229023342267633,580.3986206054688,2010,-81.169991936193,74.38425681766743,spring
34,82024ffffffffff,55.26234567901235,13.046084144624356,1051.7906494140625,2010,-78.05969857773223,71.54830938730184,spring
35,820257fffffffff,62.48360655737705,8.101448944791278,785.3260498046875,2010,-92.39635256070666,74.65179632237479,spring
36,82025ffffffffff,56.38257575757576,4.1641051003804685,1071.4837646484375,2010,-87.70175197974743,72.02981930018896,spring
37,820267fffffffff,76.52777777777777,28.38535173547119,415.5386047363281,2010,-72.70325080522757,76.44979951724731,spring
38,820277fffffffff,80.99236641221374,34.70985289316605,765.456298828125,2010,-85.4658204093328,77.08967274317632,spring
39,82028ffffffffff,123.25416666666666,54.40901567525688,1642.926025390625,2010,-122.39474064633076,72.36138474140532,spring
40,82029ffffffffff,123.0897435897436,51.38426306606421,2430.234375,2010,-129.8515947065772,70.83659995406829,spring
41,8202affffffffff,109.63235294117646,52.69940035129072,1383.0255126953125,2010,-121.81705302382865,75.24931087925215,spring
42,8202c7fffffffff,53.264084507042256,3.492138400418048,1069.6104736328125,2010,-106.8479280580293,71.54215561857924,spring
43,8202cffffffffff,51.18604651162791,3.378435004841548,1344.394775390625,2010,-101.31055916947113,69.26725377307399,spring
44,8202d7fffffffff,55.56015037593985,22.4561238942668,1190.6197509765625,2010,-115.38467434538705,70.65533944023451,spring
45,8202dffffffffff,73.33656957928802,45.86545104849966,1689.282958984375,2010,-109.3770186289365,68.66439976022596,spring
46,8202e7fffffffff,59.1418439716312,4.192819644998012,978.4630737304688,2010,-103.45221206918713,74.35898139941739,spring
47,8202effffffffff,56.76923076923077,3.624865521577497,1162.630859375,2010,-97.47945981225783,72.0209582216219,spring
48,8202f7fffffffff,68.15736040609137,36.09215259182086,1200.2618408203125,2010,-113.5931926515356,73.56192754038351,spring
49,820347fffffffff,101.590625,40.6424647773953,375.6032104492188,2010,-62.4745577375777,80.90111248584394,spring
50,82034ffffffffff,72.90962099125365,23.537838036798867,280.417236328125,2010,-61.86383445729595,78.10587860407348,spring
51,820357fffffffff,113.36713286713288,39.979224914112095,415.7283935546875,2010,-80.69196024481263,81.88933797464962,spring
52,82035ffffffffff,102.63868613138686,42.49849081254944,478.52777099609375,2010,-75.82264823390935,79.22768709015975,spring
53,820367fffffffff,88.64797507788163,29.488621809087263,260.63262939453125,2010,-44.82427825602966,81.88560484728671,spring
54,82036ffffffffff,68.17492711370262,3.7888356978053896,221.1228179931641,2010,-48.61590981116214,79.2109349944194,spring
55,820377fffffffff,84.72,22.05284932305361,345.0827331542969,2010,-62.18859902661309,83.65316379333541,spring
