h3_02,mean_DOY_max,std_DOY_max,mean_DOY_peak,std_DOY_peak,lng,lat
820007fffffffff,53.5,2.1213203435596424,57.5,4.949747468305833,38.027954689210915,79.25177459109035
82001ffffffffff,149.64,56.089868366161575,64.52941176470588,33.459149808122035,50.523674736826095,81.03848255534811
820027fffffffff,52.0,9.899494936611665,57.5,9.192388155425117,29.600681327773565,77.19399898495597
82002ffffffffff,120.77777777777777,63.854909716869024,64.80645161290323,28.431695171455758,22.595539289311112,79.65840440362632
82004ffffffffff,38.90909090909091,25.536070744946436,53.0,22.593017603774058,-34.79834391852872,84.36126652456497
820067fffffffff,72.0,74.50369118372592,33.5,4.041451884327381,-6.247567572862153,80.96111625671124
82006ffffffffff,67.29577464788733,33.56162535064508,59.67164179104478,21.473301294300388,-24.512414564182333,81.91025310118522
820087fffffffff,27.5,31.81980515339464,58.0,,74.9113037520116,77.15979474256645
82008ffffffffff,97.5,7.7781745930520225,96.0,,80.72401774802684,79.89441387813707
820097fffffffff,101.7948717948718,34.17153284855646,74.13888888888889,44.399583510130086,81.99024309334878,74.69290458318693
82009ffffffffff,127.33333333333333,17.55942292142123,133.0,15.524174696260024,88.1865263481808,77.2420638789918
8200a7fffffffff,75.5,44.1948291865606,74.47222222222223,26.184494988022543,62.73886042856746,76.46511996000737
8200affffffffff,143.2,53.597574571989725,74.5,19.70617500514327,64.83286355924874,79.34234070885736
8200b7fffffffff,102.54545454545455,27.818568030592935,60.666666666666664,26.433879775772606,71.20572462874229,74.4032994836545
8200d7fffffffff,122.0,,126.0,,90.81848763515943,82.49462759257179
8200f7fffffffff,140.0,38.23610858861032,116.0,46.26733909213568,68.5472605945598,82.2497680983409
820127fffffffff,104.65573770491804,55.46047218579309,62.87850467289719,22.5052238298066,24.357445241443248,70.69456912703434
820137fffffffff,96.56962025316456,61.192148722189515,55.725806451612904,22.94981649616891,32.293492901094126,70.32031387880089
820157fffffffff,80.03030303030303,52.059752237504,83.44444444444444,41.98565078446292,17.01511912451366,77.28185485162669
82015ffffffffff,86.86666666666666,60.276584729616744,69.23076923076923,39.79144348172072,7.424665218416564,79.32196770403874
820187fffffffff,90.93617021276596,52.78457100055518,69.86666666666666,27.03717827379568,52.918746208520346,72.52218335760773
82018ffffffffff,38.89473684210526,23.04077240420677,56.875,16.099171821349486,52.43990928465093,75.29446624834699
820197fffffffff,107.10526315789474,57.29949269794969,77.51515151515152,41.63165953643424,60.465639137863825,70.89829545164343
82019ffffffffff,62.18518518518518,33.89127075838605,61.84615384615385,15.201821753177631,61.39753444676153,73.6449853817932
8201b7fffffffff,83.11111111111111,63.094759829550966,55.13636363636363,30.400964042586132,53.10959500701393,69.82186878611414
820207fffffffff,79.17391304347827,25.410542146398868,86.95454545454545,17.93235244102859,-107.38668872253497,79.22046392765274
82020ffffffffff,83.22535211267606,24.31295785208173,83.02816901408451,24.036859689702702,-98.69605789146034,77.0719535852298
820217fffffffff,74.63157894736842,25.502092564066167,82.61111111111111,18.77463523226417,-121.0990490044932,78.11520193082025
82021ffffffffff,84.61052631578947,21.1787201192673,88.74193548387096,19.43769490370979,-111.08267367478946,76.42395015828444
820227fffffffff,97.0,52.630789467763066,77.66666666666667,30.088757590391356,-101.18171098474508,81.94494073490236
82022ffffffffff,86.3265306122449,20.14574499609053,90.17525773195877,18.084299307501492,-91.6906468024921,79.61446906663231
820247fffffffff,89.22916666666667,14.831317623735941,92.81720430107526,11.394073818703662,-81.169991936193,74.38425681766743
82024ffffffffff,84.96860986547085,17.360354060440883,85.86301369863014,17.955077788717432,-78.05969857773223,71.54830938730184
820257fffffffff,89.12068965517241,17.03916469294441,93.71304347826087,15.100694312718314,-92.39635256070666,74.65179632237479
82025ffffffffff,90.35975609756098,20.533643557137097,81.8132530120482,24.679915873754453,-87.70175197974743,72.02981930018896
820267fffffffff,82.51282051282051,26.836612652819337,87.58333333333333,24.79904952095659,-72.70325080522757,76.44979951724731
820277fffffffff,85.74789915966386,20.087612544861,87.5677966101695,18.504551906420872,-85.4658204093328,77.08967274317632
82028ffffffffff,89.10344827586206,22.456354006139158,96.8970588235294,13.731434287127449,-122.39474064633076,72.36138474140532
82029ffffffffff,72.27868852459017,42.26351111283467,84.84782608695652,20.320725480601595,-129.8515947065772,70.83659995406829
8202affffffffff,74.85507246376811,29.011800521166656,84.90322580645162,22.071203460855294,-121.81705302382865,75.24931087925215
8202c7fffffffff,94.13068181818181,13.49624166058977,94.15254237288136,19.39582917852037,-106.8479280580293,71.54215561857924
8202cffffffffff,74.6030534351145,23.70351463368735,79.2063492063492,22.417963318844986,-101.31055916947113,69.26725377307399
8202d7fffffffff,93.85975609756098,13.914677423242962,98.06748466257669,11.218442066501687,-115.38467434538705,70.65533944023451
8202dffffffffff,85.13270142180095,23.765349361762325,85.29807692307692,25.239291432857257,-109.3770186289365,68.66439976022596
8202e7fffffffff,81.125,21.463764390669727,83.10714285714286,22.017083095904145,-103.45221206918713,74.35898139941739
8202effffffffff,87.03174603174604,21.103151047343243,89.0241935483871,20.26068470888394,-97.47945981225783,72.0209582216219
8202f7fffffffff,90.64150943396227,20.535770733154187,95.37864077669903,16.899423650025074,-113.5931926515356,73.56192754038351
820347fffffffff,82.14444444444445,15.833800505625145,86.1413043478261,17.820584172748177,-62.4745577375777,80.90111248584394
82034ffffffffff,78.07534246575342,15.132101349819816,81.1917808219178,10.44876832767493,-61.86383445729595,78.10587860407348
820357fffffffff,86.63855421686748,18.937366799501294,89.20731707317073,16.1968887462598,-80.69196024481263,81.88933797464962
82035ffffffffff,87.95918367346938,12.022246018391948,91.47422680412372,9.62861705142665,-75.82264823390935,79.22768709015975
820367fffffffff,59.44186046511628,23.614853078300374,61.858823529411765,20.561263244715473,-44.82427825602966,81.88560484728671
82036ffffffffff,53.06870229007634,10.176285282417576,58.3206106870229,10.405817289879081,-48.61590981116214,79.2109349944194
820377fffffffff,85.29411764705883,14.953112994801254,89.05882352941177,13.371941651436106,-62.18859902661309,83.65316379333541
820407fffffffff,70.24590163934427,53.549558273218565,82.58490566037736,49.21633326536103,145.35623807779035,74.92809813217185
820417fffffffff,74.21897810218978,49.756719222348,59.06481481481482,41.48015472987033,140.25196935533737,72.15974671641375
82041ffffffffff,42.37234042553192,33.874526237230874,38.35526315789474,19.190764408863217,150.44663558978107,72.15775484067512
820427fffffffff,88.6,48.71139497078687,90.8,49.630635700139884,138.12181196323934,77.53621054724321
82042ffffffffff,36.0,5.656854249492381,44.0,5.656854249492381,152.6080209485134,77.5333859517731
820437fffffffff,63.285714285714285,41.10105477109685,57.75,35.83326286110054,133.51289372530482,74.61826538942125
82045ffffffffff,,,,,-2.2821235703406755,72.32379757589489
820487fffffffff,91.18394648829431,36.266670915212146,84.94035087719298,35.016393844949555,141.41023435468665,66.81741024982676
82048ffffffffff,84.77814569536424,39.504999295122204,69.29629629629629,32.197594884449195,149.27121399307745,66.81587330058628
820497fffffffff,97.14240506329114,34.98374188250979,88.18181818181819,32.874618539648566,138.31087149039766,64.06395020026714
82049ffffffffff,100.64814814814815,40.19310543008847,84.39928057553956,35.33852173781657,145.3378314048301,64.23206401198084
8204a7fffffffff,86.28464419475655,40.0465127616052,70.85232067510549,28.816031850786555,136.51914639066302,69.3106305820324
8204affffffffff,80.58394160583941,43.98878350803445,61.085470085470085,32.60942559691758,145.34464633412134,69.53336574967494
8204b7fffffffff,102.70790378006873,36.005467583903666,91.85943775100401,30.164741242031738,133.69275208496666,66.4339871821042
8204c7fffffffff,68.91629955947137,42.25404676077878,60.18840579710145,29.28779627341354,162.59218127373333,68.65138731238959
8204cffffffffff,105.5,2.1213203435596424,107.5,2.1213203435596424,170.31466560536066,67.61775040716934
8204d7fffffffff,73.34193548387097,37.88296381882085,64.10544217687075,23.511215194162155,156.98680434582636,66.42946046556318
8204dffffffffff,88.11254019292605,24.34172450574737,87.1704918032787,22.721651975755062,164.29827353991445,65.6850059867391
8204e7fffffffff,45.375,41.879979612073505,37.0,18.972018869904172,160.3292494061267,71.63800066488427
8204effffffffff,,,,,169.38287366939764,70.65331287140187
8204f7fffffffff,65.05734767025089,42.33019749868846,46.278884462151396,15.200326060667173,154.1687330972414,69.30719081803073
820507fffffffff,121.75,27.801378862687127,97.25,34.586847211042524,112.50600083489465,78.53263443506262
820517fffffffff,97.0,39.09480361537542,84.62650602409639,43.79740242976146,112.90648089769753,75.44139360788142
820527fffffffff,106.25454545454545,28.197857931395998,94.8695652173913,37.37058183215014,97.47034403957942,79.62175354529667
820537fffffffff,102.78991596638656,30.861603028979268,79.02970297029702,40.21901427075123,101.25148891795493,76.65336305345963
820587fffffffff,110.44573643410853,44.73178782111725,79.472049689441,35.3454491610662,121.30468197718633,70.6624473419216
82058ffffffffff,76.22085889570552,45.38749821613297,64.29710144927536,37.161790560580705,130.36523685183238,71.64379692362567
820597fffffffff,128.42124542124543,41.10158491185897,88.75,39.12227559271633,120.36391834325843,67.62721835582632
82059ffffffffff,103.81454545454545,39.800118375377906,87.6234309623431,36.27417239768566,128.09183015082536,68.65803666709097
8205a7fffffffff,97.05676855895196,32.67961581034865,70.60773480662984,36.20751527048791,113.16927616678419,72.3585989884379
